"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",121071.924888179,0,121071.924888179
"grass_planting_cost","grass_planting_cost",121110.420244977,0,121110.420244977
"initial_fences_cost","initial_fences_cost",120927.616784155,0,120927.616784155
"maintaining_fences_cost","maintaining_fences_cost",120699.112362646,0,120699.112362646
"soil_analysis","soil_analysis",120867.099377126,0,120867.099377126
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",120931.175241258,0,120931.175241258
"amount_bales_1","amount_bales_1",120869.131829377,0,120869.131829377
"income_bale_1","income_bale_1",120900.511449684,0,120900.511449684
"replacing_trees_cost","replacing_trees_cost",121017.266054562,0,121017.266054562
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",120983.725527404,0,120983.725527404
"nut_price","nut_price",121055.114375923,0,121055.114375923
"harvest_nets_1","harvest_nets_1",121069.014466254,0,121069.014466254
"harvest_nets_2","harvest_nets_2",121179.011798397,0,121179.011798397
"tree_planting_hours_1","tree_planting_hours_1",120971.835860215,0,120971.835860215
"tree_planting_hours_2","tree_planting_hours_2",121089.185188939,0,121089.185188939
"tree_planting_costs_1","tree_planting_costs_1",120862.826590491,0,120862.826590491
"tree_planting_costs_2","tree_planting_costs_2",121003.044950994,0,121003.044950994
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",121133.542003826,0,121133.542003826
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",120940.633713453,0,120940.633713453
"maintaining_trees_h_1","maintaining_trees_h_1",120914.567513543,0,120914.567513543
"maintaining_trees_h_2","maintaining_trees_h_2",120876.674025267,0,120876.674025267
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",120875.356266649,0,120875.356266649
"mulch_h_2","mulch_h_2",121104.259619186,0,121104.259619186
"other_nut_h_1","other_nut_h_1",120562.814056996,0,120562.814056996
"other_nut_h_2","other_nut_h_2",120874.528386766,0,120874.528386766
"nut_harvest_hours_1","nut_harvest_hours_1",121049.685066251,0,121049.685066251
"nut_harvest_hours_2","nut_harvest_hours_2",120799.148518101,0,120799.148518101
"nut_yield_1","nut_yield_1",120849.795200071,0,120849.795200071
"nut_yield_2","nut_yield_2",120933.247284436,0,120933.247284436
"nut_var_costs_1","nut_var_costs_1",120880.719605169,0,120880.719605169
"nut_var_costs_2","nut_var_costs_2",120902.6614523,0,120902.6614523
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",120978.134338409,0,120978.134338409
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",121020.433134514,0,121020.433134514
"installation_irrigation_1","installation_irrigation_1",121021.356929858,0,121021.356929858
"installation_irrigation_2","installation_irrigation_2",120958.548660527,0,120958.548660527
"work_per_irrigation","work_per_irrigation",121102.683184683,0,121102.683184683
"maintaining_irrigation_1","maintaining_irrigation_1",121093.333267607,0,121093.333267607
"maintaining_irrigation_2","maintaining_irrigation_2",120999.247653267,0,120999.247653267
"water_per_day_1","water_per_day_1",120925.196630269,0,120925.196630269
"water_per_day_2","water_per_day_2",121076.199644138,0,121076.199644138
"tree_planting_hours_3","tree_planting_hours_3",121046.211276379,0,121046.211276379
"tree_planting_costs_3","tree_planting_costs_3",121131.622915029,0,121131.622915029
"maintaining_trees_h_3","maintaining_trees_h_3",120932.931487102,0,120932.931487102
"mulch_h_3","mulch_h_3",120996.489840551,0,120996.489840551
"tree_var_costs","tree_var_costs",120929.711203055,0,120929.711203055
"truffle_yield","truffle_yield",120655.822336558,0,120655.822336558
"truffle_price","truffle_price",120928.273686795,0,120928.273686795
"truffle_harvest_costs","truffle_harvest_costs",120946.515202557,0,120946.515202557
"truffle_water_per_day","truffle_water_per_day",121069.942628353,0,121069.942628353
"truffle_days_to_irrigate","truffle_days_to_irrigate",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",121069.915455996,0,121069.915455996
"initial_chicken_mobile_cost_1","initial_chicken_mobile_cost_1",120948.845731068,0,120948.845731068
"maintaining_chicken_mobile_1","maintaining_chicken_mobile_1",120948.699409666,0,120948.699409666
"feed_cost","feed_cost",120948.349767403,0,120948.349767403
"working_hours_chicken_1","working_hours_chicken_1",121068.649850021,0,121068.649850021
"egg_per_hen","egg_per_hen",121001.042519033,0,121001.042519033
"feed_per_hen","feed_per_hen",120883.406078398,0,120883.406078398
"initial_chicken_mobile_cost_2","initial_chicken_mobile_cost_2",120948.363850432,0,120948.363850432
"maintaining_chicken_mobile_2","maintaining_chicken_mobile_2",120099.90116532,0,120099.90116532
"working_hours_chicken_2","working_hours_chicken_2",121054.832224316,0,121054.832224316
"eggs_price","eggs_price",120926.350053806,0,120926.350053806
