"","variable","expected_gain","EVPI_do","EVPI_dont"
"kg_per_certificate","kg_per_certificate",NA,0,0
"kg_per_tree","kg_per_tree",120954.973143387,0,120954.973143387
"kg_per_bush","kg_per_bush",120800.870390428,0,120800.870390428
"co2_price_per_ton","co2_price_per_ton",121022.923414934,0,121022.923414934
"co2_per_egg","co2_per_egg",121071.660807191,0,121071.660807191
"winterbarley_yield","winterbarley_yield",121077.132688508,0,121077.132688508
"winterbarley_costs","winterbarley_costs",120904.549395634,0,120904.549395634
"winterbarley_work","winterbarley_work",121042.729150989,0,121042.729150989
"winterbarley_price","winterbarley_price",120921.145288054,0,120921.145288054
"rye_yield","rye_yield",120866.687012188,0,120866.687012188
"rye_costs","rye_costs",121107.526520579,0,121107.526520579
"rye_work","rye_work",121045.70664002,0,121045.70664002
"rye_price","rye_price",121030.035550116,0,121030.035550116
"wheat_yield","wheat_yield",121058.29853976,0,121058.29853976
"wheat_costs","wheat_costs",121053.108492623,0,121053.108492623
"wheat_work","wheat_work",120922.99910164,0,120922.99910164
"wheat_price","wheat_price",121023.181992845,0,121023.181992845
"summerbarley_yield","summerbarley_yield",121023.649832093,0,121023.649832093
"summerbarley_costs","summerbarley_costs",120898.720825951,0,120898.720825951
"summerbarley_work","summerbarley_work",120953.707450595,0,120953.707450595
"summerbarley_price","summerbarley_price",120839.905613821,0,120839.905613821
