"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",63045.3751242378,0,63045.3751242378
"grass_planting_cost","grass_planting_cost",63064.2747649719,0,63064.2747649719
"initial_fences_cost","initial_fences_cost",63009.9626391345,0,63009.9626391345
"maintaining_fences_cost","maintaining_fences_cost",62847.9409309643,0,62847.9409309643
"soil_analysis","soil_analysis",63027.8939337864,0,63027.8939337864
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",63024.5314364217,0,63024.5314364217
"amount_bales_1","amount_bales_1",62926.5093932955,0,62926.5093932955
"income_bale_1","income_bale_1",63038.5075889805,0,63038.5075889805
"replacing_trees_cost","replacing_trees_cost",62998.0443280682,0,62998.0443280682
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",63000.9487702429,0,63000.9487702429
"nut_price","nut_price",62992.4687108679,0,62992.4687108679
"harvest_nets_1","harvest_nets_1",63016.0623766163,0,63016.0623766163
"harvest_nets_2","harvest_nets_2",63037.7321921953,0,63037.7321921953
"tree_planting_hours_1","tree_planting_hours_1",63009.4305735665,0,63009.4305735665
"tree_planting_hours_2","tree_planting_hours_2",63023.9815647574,0,63023.9815647574
"tree_planting_costs_1","tree_planting_costs_1",63018.5856507068,0,63018.5856507068
"tree_planting_costs_2","tree_planting_costs_2",63029.5921322833,0,63029.5921322833
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",62997.943037949,0,62997.943037949
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",62983.2422905741,0,62983.2422905741
"maintaining_trees_h_1","maintaining_trees_h_1",63029.7324035921,0,63029.7324035921
"maintaining_trees_h_2","maintaining_trees_h_2",62958.2896878559,0,62958.2896878559
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",62963.2400061153,0,62963.2400061153
"mulch_h_2","mulch_h_2",62984.3715855709,0,62984.3715855709
"other_nut_h_1","other_nut_h_1",62780.2173055989,0,62780.2173055989
"other_nut_h_2","other_nut_h_2",63020.7689665308,0,63020.7689665308
"nut_harvest_hours_1","nut_harvest_hours_1",63003.8713029435,0,63003.8713029435
"nut_harvest_hours_2","nut_harvest_hours_2",62962.984134101,0,62962.984134101
"nut_yield_1","nut_yield_1",62975.7799577514,0,62975.7799577514
"nut_yield_2","nut_yield_2",62960.4766727394,0.1043637507369,62960.5810364902
"nut_var_costs_1","nut_var_costs_1",63018.4464220774,0,63018.4464220774
"nut_var_costs_2","nut_var_costs_2",62990.7062977405,0,62990.7062977405
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",62990.7943486758,0,62990.7943486758
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",63020.2376243197,0,63020.2376243197
"installation_irrigation_1","installation_irrigation_1",63077.1870408958,0,63077.1870408958
"installation_irrigation_2","installation_irrigation_2",63037.35012356,0,63037.35012356
"work_per_irrigation","work_per_irrigation",63004.4073676476,0,63004.4073676476
"maintaining_irrigation_1","maintaining_irrigation_1",63015.5495355388,0,63015.5495355388
"maintaining_irrigation_2","maintaining_irrigation_2",62996.2130125642,0,62996.2130125642
"water_per_day_1","water_per_day_1",62953.2741344395,0,62953.2741344395
"water_per_day_2","water_per_day_2",63008.9462776049,0,63008.9462776049
"tree_planting_hours_3","tree_planting_hours_3",62940.6790894578,0,62940.6790894578
