"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",56983.0028188568,0,56983.0028188568
"grass_planting_cost","grass_planting_cost",57028.4884146442,0,57028.4884146442
"initial_fences_cost","initial_fences_cost",57021.6254990405,0,57021.6254990405
"maintaining_fences_cost","maintaining_fences_cost",57000.8726380449,0,57000.8726380449
"soil_analysis","soil_analysis",56990.2361137508,0,56990.2361137508
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",57013.9435166852,0,57013.9435166852
"amount_bales_1","amount_bales_1",56982.1224532293,0,56982.1224532293
"income_bale_1","income_bale_1",56986.4740481183,0,56986.4740481183
"replacing_trees_cost","replacing_trees_cost",56932.5409789964,0,56932.5409789964
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",56972.2274892132,0,56972.2274892132
"nut_price","nut_price",56947.6993376555,0,56947.6993376555
"harvest_nets_1","harvest_nets_1",57076.3075011451,0,57076.3075011451
"harvest_nets_2","harvest_nets_2",56982.2301189637,0,56982.2301189637
"tree_planting_hours_1","tree_planting_hours_1",56986.4586145285,0,56986.4586145285
"tree_planting_hours_2","tree_planting_hours_2",56932.1691503248,0,56932.1691503248
"tree_planting_costs_1","tree_planting_costs_1",56987.8265082557,0,56987.8265082557
"tree_planting_costs_2","tree_planting_costs_2",57007.0914248331,0,57007.0914248331
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",56954.4525517584,0,56954.4525517584
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",57005.0028241027,0,57005.0028241027
"maintaining_trees_h_1","maintaining_trees_h_1",56951.8263870162,0,56951.8263870162
"maintaining_trees_h_2","maintaining_trees_h_2",57014.6587954905,0,57014.6587954905
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",56984.5785954427,0,56984.5785954427
"mulch_h_2","mulch_h_2",56968.1378555319,0,56968.1378555319
"other_nut_h_1","other_nut_h_1",56781.303807007,0,56781.303807007
"other_nut_h_2","other_nut_h_2",56974.123342561,0,56974.123342561
"nut_harvest_hours_1","nut_harvest_hours_1",56946.5936651861,0,56946.5936651861
"nut_harvest_hours_2","nut_harvest_hours_2",57000.9790026269,0,57000.9790026269
"nut_yield_1","nut_yield_1",56973.6700953221,0,56973.6700953221
"nut_yield_2","nut_yield_2",57013.6728186035,0,57013.6728186035
"nut_var_costs_1","nut_var_costs_1",57005.0112816393,0,57005.0112816393
"nut_var_costs_2","nut_var_costs_2",57010.9392091063,0,57010.9392091063
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",57048.4850188607,0,57048.4850188607
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",56953.5796490427,0,56953.5796490427
"installation_irrigation_1","installation_irrigation_1",56941.7581791432,0,56941.7581791432
"installation_irrigation_2","installation_irrigation_2",56913.2821081445,0,56913.2821081445
"work_per_irrigation","work_per_irrigation",56985.4160436458,0,56985.4160436458
"maintaining_irrigation_1","maintaining_irrigation_1",56972.1513910903,0,56972.1513910903
"maintaining_irrigation_2","maintaining_irrigation_2",56930.5953118111,0,56930.5953118111
"water_per_day_1","water_per_day_1",56955.0148739575,0,56955.0148739575
"water_per_day_2","water_per_day_2",56963.9199560515,0,56963.9199560515
"tree_planting_hours_3","tree_planting_hours_3",56993.5673341225,0,56993.5673341225
"tree_planting_costs_3","tree_planting_costs_3",57035.3766856844,0,57035.3766856844
"maintaining_trees_h_3","maintaining_trees_h_3",56902.1360569149,0,56902.1360569149
"mulch_h_3","mulch_h_3",56930.9822927109,0,56930.9822927109
"tree_var_costs","tree_var_costs",57026.8578173309,0,57026.8578173309
"truffle_yield","truffle_yield",56980.6456653339,8.19711960416493,56988.8427849381
"truffle_price","truffle_price",57025.9656901749,0,57025.9656901749
"truffle_harvest_costs","truffle_harvest_costs",57012.3940592892,0,57012.3940592892
"number_of_chicken","number_of_chicken",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",57041.0398320182,0,57041.0398320182
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",57028.1758668511,0,57028.1758668511
"maintaining_chicken_mobile","maintaining_chicken_mobile",57106.2167100647,0,57106.2167100647
"chicken_feed","chicken_feed",56932.3801032131,0,56932.3801032131
"feed_cost","feed_cost",57008.1383961129,0,57008.1383961129
"working_hours_chicken","working_hours_chicken",57016.5586792601,0,57016.5586792601
"eggs","eggs",56986.9384946794,0,56986.9384946794
"eggs_price","eggs_price",57014.0166964625,0,57014.0166964625
"crop_yield","crop_yield",56905.863521229,0,56905.863521229
"crop_price","crop_price",56933.584738128,0,56933.584738128
"working_hours_crop","working_hours_crop",57043.4800846975,0,57043.4800846975
