"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",58035.24164183,0,58035.24164183
"grass_planting_cost","grass_planting_cost",58046.1552901728,0,58046.1552901728
"initial_fences_cost","initial_fences_cost",57917.7069166675,0,57917.7069166675
"maintaining_fences_cost","maintaining_fences_cost",57851.1358761614,0,57851.1358761614
"soil_analysis","soil_analysis",57932.8433658202,0,57932.8433658202
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",57906.6438048367,0,57906.6438048367
"amount_bales_1","amount_bales_1",57942.5861861852,0,57942.5861861852
"income_bale_1","income_bale_1",57908.3009625848,0,57908.3009625848
"replacing_trees_cost","replacing_trees_cost",58002.8692650905,0,58002.8692650905
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",58035.1042653189,0,58035.1042653189
"nut_price","nut_price",58058.7463050276,0,58058.7463050276
"harvest_nets_1","harvest_nets_1",58052.9908819368,0,58052.9908819368
"harvest_nets_2","harvest_nets_2",58141.3123665056,0,58141.3123665056
"tree_planting_hours_1","tree_planting_hours_1",57962.405286648,0,57962.405286648
"tree_planting_hours_2","tree_planting_hours_2",58041.6670344399,0,58041.6670344399
"tree_planting_costs_1","tree_planting_costs_1",57879.1647080727,0,57879.1647080727
"tree_planting_costs_2","tree_planting_costs_2",57938.4608218679,0,57938.4608218679
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",58119.3906459416,0,58119.3906459416
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",57971.2211803234,0,57971.2211803234
"maintaining_trees_h_1","maintaining_trees_h_1",57941.7080811409,0,57941.7080811409
"maintaining_trees_h_2","maintaining_trees_h_2",57913.2273931252,0,57913.2273931252
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",57913.606447771,0,57913.606447771
"mulch_h_2","mulch_h_2",58119.888033616,0,58119.888033616
"other_nut_h_1","other_nut_h_1",57780.4282386879,0,57780.4282386879
