"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",-49603.7517395322,49603.7517395322,0
"grass_planting_cost","grass_planting_cost",-49595.4083854794,49595.4083854794,0
"initial_fences_cost","initial_fences_cost",-49568.1557609273,49568.1557609273,0
"maintaining_fences_cost","maintaining_fences_cost",-49544.5035878925,49544.5035878925,0
"soil_analysis","soil_analysis",-49647.8092497995,49647.8092497995,0
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",-49496.6636920587,49496.6636920587,0
"amount_bales_1","amount_bales_1",-49621.0988690505,49621.0988690505,0
"income_bale_1","income_bale_1",-49584.1271245182,49584.1271245182,0
"replacing_trees_cost","replacing_trees_cost",-49578.635700012,49578.635700012,0
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",-49604.1401885054,49604.1401885054,0
"nut_price","nut_price",-49556.1186880449,49556.1186880449,0
"harvest_nets_1","harvest_nets_1",-49562.1221872483,49562.1221872483,0
"harvest_nets_2","harvest_nets_2",-49535.028764431,49535.028764431,0
"tree_planting_hours_1","tree_planting_hours_1",-49637.6345524264,49637.6345524264,0
"tree_planting_hours_2","tree_planting_hours_2",-49496.0185639358,49496.0185639358,0
"tree_planting_costs_1","tree_planting_costs_1",-49650.3061047483,49650.3061047483,0
"tree_planting_costs_2","tree_planting_costs_2",-49584.5548258961,49584.5548258961,0
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",-49581.5937995413,49581.5937995413,0
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",-49564.0323478964,49564.0323478964,0
"maintaining_trees_h_1","maintaining_trees_h_1",-49575.2620581037,49575.2620581037,0
"maintaining_trees_h_2","maintaining_trees_h_2",-49606.5223743936,49606.5223743936,0
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",-49573.4987392679,49573.4987392679,0
"mulch_h_2","mulch_h_2",-49594.5001972785,49594.5001972785,0
"other_nut_h_1","other_nut_h_1",-49364.6940652253,49364.6940652253,0
"other_nut_h_2","other_nut_h_2",-49557.8905956511,49557.8905956511,0
"nut_harvest_hours_1","nut_harvest_hours_1",-49607.6815477853,49607.6815477853,0
"nut_harvest_hours_2","nut_harvest_hours_2",-49598.014739333,49598.014739333,0
"nut_yield_1","nut_yield_1",-49575.8924759871,49575.8924759871,0
"nut_yield_2","nut_yield_2",-49566.3410846182,49566.3410846182,0
"nut_var_costs_1","nut_var_costs_1",-49598.5079875492,49598.5079875492,0
"nut_var_costs_2","nut_var_costs_2",-49615.8066721493,49615.8066721493,0
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",-49651.2194139842,49651.2194139842,0
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",-49566.5274985657,49566.5274985657,0
"installation_irrigation_1","installation_irrigation_1",-49605.9664913335,49605.9664913335,0
"installation_irrigation_2","installation_irrigation_2",-49638.0697678708,49638.0697678708,0
"work_per_irrigation","work_per_irrigation",-49637.3449985348,49637.3449985348,0
"maintaining_irrigation_1","maintaining_irrigation_1",-49560.8207334865,49560.8207334865,0
"maintaining_irrigation_2","maintaining_irrigation_2",-49576.8725576695,49576.8725576695,0
"water_per_day_1","water_per_day_1",-49612.4073398615,49612.4073398615,0
"water_per_day_2","water_per_day_2",-49634.5884430637,49634.5884430637,0
"tree_planting_hours_3","tree_planting_hours_3",-49643.2949385982,49643.2949385982,0
"tree_planting_costs_3","tree_planting_costs_3",-49610.9256740771,49610.9256740771,0
"maintaining_trees_h_3","maintaining_trees_h_3",-49482.4910695486,49482.4910695486,0
"mulch_h_3","mulch_h_3",-49562.1581304305,49562.1581304305,0
"tree_var_costs","tree_var_costs",-49595.7096468554,49595.7096468554,0
"truffle_yield","truffle_yield",-49569.7117403093,49628.5507566558,58.8390163465805
"truffle_price","truffle_price",-49571.7937891657,49571.7937891657,0
"truffle_harvest_costs","truffle_harvest_costs",-49656.0988375933,49656.0988375933,0
"number_of_chicken","number_of_chicken",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",-49640.4758587778,49640.4758587778,0
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",-49530.603003674,49530.603003674,0
"maintaining_chicken_mobile","maintaining_chicken_mobile",-49627.0026955679,49627.0026955679,0
"chicken_feed","chicken_feed",-49600.969154199,49600.969154199,0
"feed_cost","feed_cost",-49600.7335234072,49600.7335234072,0
"working_hours_chicken","working_hours_chicken",-49628.6308915254,49628.6308915254,0
"eggs","eggs",-49595.2647186112,49595.2647186112,0
"eggs_price","eggs_price",-49575.5866753381,49575.5866753381,0
"crop_yield","crop_yield",-49603.677210736,49603.677210736,0
"crop_price","crop_price",-49586.6621201988,49586.6621201988,0
"working_hours_crop","working_hours_crop",-49632.0741323172,49632.0741323172,0
