"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",50141.0521899176,0,50141.0521899176
"grass_planting_cost","grass_planting_cost",50177.555905471,0,50177.555905471
"initial_fences_cost","initial_fences_cost",50158.8117265212,0,50158.8117265212
"maintaining_fences_cost","maintaining_fences_cost",50140.7811787481,0,50140.7811787481
"soil_analysis","soil_analysis",50131.7875155693,0,50131.7875155693
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",50161.3427794876,0,50161.3427794876
"amount_bales_1","amount_bales_1",50122.7963672857,0,50122.7963672857
"income_bale_1","income_bale_1",50138.0660440527,0,50138.0660440527
"replacing_trees_cost","replacing_trees_cost",50053.7671909677,0,50053.7671909677
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",50114.3931610961,0,50114.3931610961
"nut_price","nut_price",50086.3053076462,0,50086.3053076462
"harvest_nets_1","harvest_nets_1",50218.3199185977,0,50218.3199185977
"harvest_nets_2","harvest_nets_2",50105.2511851355,0,50105.2511851355
"tree_planting_hours_1","tree_planting_hours_1",50132.9411542848,0,50132.9411542848
"tree_planting_hours_2","tree_planting_hours_2",50074.3049555254,0,50074.3049555254
"tree_planting_costs_1","tree_planting_costs_1",50122.9391827936,0,50122.9391827936
"tree_planting_costs_2","tree_planting_costs_2",50130.2682157112,0,50130.2682157112
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",50112.4735551298,0,50112.4735551298
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",50139.8203729093,0,50139.8203729093
"maintaining_trees_h_1","maintaining_trees_h_1",50095.9974753103,0,50095.9974753103
"maintaining_trees_h_2","maintaining_trees_h_2",50152.7023176188,0,50152.7023176188
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",50137.31997492,0,50137.31997492
"mulch_h_2","mulch_h_2",50097.1295068949,0,50097.1295068949
"other_nut_h_1","other_nut_h_1",49939.5184406205,0,49939.5184406205
"other_nut_h_2","other_nut_h_2",50118.4786218081,0,50118.4786218081
"nut_harvest_hours_1","nut_harvest_hours_1",50090.6432204323,0,50090.6432204323
"nut_harvest_hours_2","nut_harvest_hours_2",50146.9289036023,0,50146.9289036023
"nut_yield_1","nut_yield_1",50127.8557516739,0,50127.8557516739
"nut_yield_2","nut_yield_2",50173.0383615851,0,50173.0383615851
"nut_var_costs_1","nut_var_costs_1",50140.1183740573,0,50140.1183740573
"nut_var_costs_2","nut_var_costs_2",50170.6102287397,0,50170.6102287397
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",50176.4595071344,0,50176.4595071344
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",50101.5566814104,0,50101.5566814104
"installation_irrigation_1","installation_irrigation_1",50096.0840826066,0,50096.0840826066
"installation_irrigation_2","installation_irrigation_2",50059.2067758136,0,50059.2067758136
"work_per_irrigation","work_per_irrigation",50119.5681874578,0,50119.5681874578
"maintaining_irrigation_1","maintaining_irrigation_1",50117.8770451668,0,50117.8770451668
"maintaining_irrigation_2","maintaining_irrigation_2",50078.4549162954,0,50078.4549162954
"water_per_day_1","water_per_day_1",50094.6854953326,0,50094.6854953326
"water_per_day_2","water_per_day_2",50120.359654804,0,50120.359654804
"tree_planting_hours_3","tree_planting_hours_3",50124.7580204822,0,50124.7580204822
"tree_planting_costs_3","tree_planting_costs_3",50183.0809156447,0,50183.0809156447
"maintaining_trees_h_3","maintaining_trees_h_3",50043.9591761811,0,50043.9591761811
"mulch_h_3","mulch_h_3",50083.7969763603,0,50083.7969763603
"tree_var_costs","tree_var_costs",50175.3470930798,0,50175.3470930798
"truffle_yield","truffle_yield",50127.9738078755,53.8925462200281,50181.8663540955
"truffle_price","truffle_price",50162.2607548842,0.024751689851014,50162.2855065741
"truffle_harvest_costs","truffle_harvest_costs",50150.7664238866,0,50150.7664238866
"number_of_chicken","number_of_chicken",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",50179.885938959,0,50179.885938959
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",50158.078514603,0,50158.078514603
"maintaining_chicken_mobile","maintaining_chicken_mobile",50246.9970795787,0,50246.9970795787
"chicken_feed","chicken_feed",50065.5035478311,0,50065.5035478311
"feed_cost","feed_cost",50160.2329211566,0,50160.2329211566
"working_hours_chicken","working_hours_chicken",50166.3509802615,0,50166.3509802615
"eggs","eggs",50131.8922081369,0,50131.8922081369
"eggs_price","eggs_price",50154.9387724279,0,50154.9387724279
"crop_yield","crop_yield",50053.05571381,0,50053.05571381
"crop_price","crop_price",50073.6185354729,0,50073.6185354729
"working_hours_crop","working_hours_crop",50168.047639787,0,50168.047639787
