"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",29785.5989572624,0,29785.5989572624
"grass_planting_cost","grass_planting_cost",29809.8905588408,0,29809.8905588408
"initial_fences_cost","initial_fences_cost",29794.8466344306,0,29794.8466344306
"maintaining_fences_cost","maintaining_fences_cost",29783.3266651607,0,29783.3266651607
"soil_analysis","soil_analysis",29778.6648379524,0,29778.6648379524
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",29803.4747205822,0,29803.4747205822
"amount_bales_1","amount_bales_1",29770.761555569,0,29770.761555569
"income_bale_1","income_bale_1",29785.7036947805,0,29785.7036947805
"replacing_trees_cost","replacing_trees_cost",29720.735239642,0,29720.735239642
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",29768.2262555921,0,29768.2262555921
"nut_price","nut_price",29747.8412584836,0,29747.8412584836
"harvest_nets_1","harvest_nets_1",29833.7250516238,0,29833.7250516238
"harvest_nets_2","harvest_nets_2",29759.1725323928,0,29759.1725323928
"tree_planting_hours_1","tree_planting_hours_1",29780.5732703303,0,29780.5732703303
"tree_planting_hours_2","tree_planting_hours_2",29739.5422962606,0,29739.5422962606
"tree_planting_costs_1","tree_planting_costs_1",29771.9404808048,0,29771.9404808048
"tree_planting_costs_2","tree_planting_costs_2",29770.5927068421,0,29770.5927068421
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",29771.5976437875,0,29771.5976437875
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",29780.8907928727,0,29780.8907928727
"maintaining_trees_h_1","maintaining_trees_h_1",29756.0594799474,0,29756.0594799474
"maintaining_trees_h_2","maintaining_trees_h_2",29791.3161858043,0,29791.3161858043
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",29785.6847622618,0,29785.6847622618
"mulch_h_2","mulch_h_2",29751.365987062,0,29751.365987062
"other_nut_h_1","other_nut_h_1",29660.4813666895,0,29660.4813666895
"other_nut_h_2","other_nut_h_2",29770.8227320119,0,29770.8227320119
"nut_harvest_hours_1","nut_harvest_hours_1",29752.5740542944,0,29752.5740542944
"nut_harvest_hours_2","nut_harvest_hours_2",29789.436402664,0,29789.436402664
"nut_yield_1","nut_yield_1",29780.116431916,0,29780.116431916
"nut_yield_2","nut_yield_2",29811.0659984399,0,29811.0659984399
"nut_var_costs_1","nut_var_costs_1",29781.1857734719,0,29781.1857734719
"nut_var_costs_2","nut_var_costs_2",29808.798182971,0,29808.798182971
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",29802.0094902026,0,29802.0094902026
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",29760.9925210379,0,29760.9925210379
"installation_irrigation_1","installation_irrigation_1",29759.7418757697,0,29759.7418757697
"installation_irrigation_2","installation_irrigation_2",29733.0345943334,0,29733.0345943334
"work_per_irrigation","work_per_irrigation",29767.6338861557,0,29767.6338861557
"maintaining_irrigation_1","maintaining_irrigation_1",29770.6476785032,0,29770.6476785032
"maintaining_irrigation_2","maintaining_irrigation_2",29746.0994477915,0,29746.0994477915
"water_per_day_1","water_per_day_1",29753.6087546336,0,29753.6087546336
"water_per_day_2","water_per_day_2",29776.1025276427,0,29776.1025276427
"tree_planting_hours_3","tree_planting_hours_3",29769.9125440099,0,29769.9125440099
"tree_planting_costs_3","tree_planting_costs_3",29814.9162431986,0,29814.9162431986
"maintaining_trees_h_3","maintaining_trees_h_3",29721.7921662003,0,29721.7921662003
"mulch_h_3","mulch_h_3",29749.3123079321,0,29749.3123079321
"tree_var_costs","tree_var_costs",29805.615227824,0,29805.615227824
"truffle_yield","truffle_yield",29777.7235239174,69.8491000699259,29847.5726239874
"truffle_price","truffle_price",29796.0724417871,0.553338610608748,29796.6257803977
"truffle_harvest_costs","truffle_harvest_costs",29806.0685359442,0,29806.0685359442
"number_of_chicken","number_of_chicken",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",29808.1644955381,0,29808.1644955381
"initial_chicken_mobile_cost","initial_chicken_mobile_cost",29790.0735554735,0,29790.0735554735
"maintaining_chicken_mobile","maintaining_chicken_mobile",29853.0009770646,0,29853.0009770646
"chicken_feed","chicken_feed",29732.4516620719,0,29732.4516620719
"feed_cost","feed_cost",29794.3956616966,0,29794.3956616966
"working_hours_chicken","working_hours_chicken",29801.8864706804,0,29801.8864706804
"eggs","eggs",29779.4141743228,0,29779.4141743228
"eggs_price","eggs_price",29792.7899522628,0,29792.7899522628
"crop_yield","crop_yield",29729.5330276568,0,29729.5330276568
"crop_price","crop_price",29740.1954147128,0,29740.1954147128
"working_hours_crop","working_hours_crop",29796.8735822199,0,29796.8735822199
