"","variable","expected_gain","EVPI_do","EVPI_dont"
"working_hours_costs","working_hours_costs",25621.354876204,0,25621.354876204
"grass_planting_cost","grass_planting_cost",25624.4964613421,0,25624.4964613421
"initial_fences_cost","initial_fences_cost",25569.3099455811,0,25569.3099455811
"maintaining_fences_cost","maintaining_fences_cost",25532.0815331611,0,25532.0815331611
"soil_analysis","soil_analysis",25598.8402405446,0,25598.8402405446
"late_frost","late_frost",NA,0,0
"subsidies","subsidies",NA,0,0
"hay_costs_1","hay_costs_1",25584.6267971401,0,25584.6267971401
"amount_bales_1","amount_bales_1",25576.1638968558,0,25576.1638968558
"income_bale_1","income_bale_1",25582.5621183481,0,25582.5621183481
"replacing_trees_cost","replacing_trees_cost",25551.3332001523,0,25551.3332001523
"replacing_truffle_trees_cost","replacing_truffle_trees_cost",25604.9071305284,0,25604.9071305284
"nut_price","nut_price",25566.3062554051,0,25566.3062554051
"harvest_nets_1","harvest_nets_1",25594.4300596428,0,25594.4300596428
"harvest_nets_2","harvest_nets_2",25587.7982244105,0,25587.7982244105
"tree_planting_hours_1","tree_planting_hours_1",25612.8577820363,0,25612.8577820363
"tree_planting_hours_2","tree_planting_hours_2",25604.5884427487,0,25604.5884427487
"tree_planting_costs_1","tree_planting_costs_1",25574.3754762459,0,25574.3754762459
"tree_planting_costs_2","tree_planting_costs_2",25580.0626138504,0,25580.0626138504
"truffle_tree_planting_costs_1","truffle_tree_planting_costs_1",25584.5227604663,0,25584.5227604663
"truffle_tree_planting_costs_2","truffle_tree_planting_costs_2",25558.4209970526,0,25558.4209970526
"maintaining_trees_h_1","maintaining_trees_h_1",25601.2449918207,0,25601.2449918207
"maintaining_trees_h_2","maintaining_trees_h_2",25578.8197845772,0,25578.8197845772
"maintaining_trees_factor","maintaining_trees_factor",NA,0,0
"mulch_h_1","mulch_h_1",25607.2321300771,0,25607.2321300771
"mulch_h_2","mulch_h_2",25564.6153552484,0,25564.6153552484
"other_nut_h_1","other_nut_h_1",25488.6596319013,0,25488.6596319013
"other_nut_h_2","other_nut_h_2",25622.6425158003,0,25622.6425158003
"nut_harvest_hours_1","nut_harvest_hours_1",25564.0830608215,0,25564.0830608215
"nut_harvest_hours_2","nut_harvest_hours_2",25599.0854188552,0,25599.0854188552
"nut_yield_1","nut_yield_1",25576.4110809554,0.727192423109534,25577.1382733785
"nut_yield_2","nut_yield_2",25556.3216133732,0,25556.3216133732
"nut_var_costs_1","nut_var_costs_1",25543.4529206516,0,25543.4529206516
"nut_var_costs_2","nut_var_costs_2",25584.9246282231,0,25584.9246282231
"water_price","water_price",NA,0,0
"days_to_irrigate","days_to_irrigate",NA,0,0
"water_trailer","water_trailer",25618.6737761241,0,25618.6737761241
"trailer_capacity","trailer_capacity",NA,0,0
"work_per_trailer","work_per_trailer",25608.7578835502,0,25608.7578835502
"installation_irrigation_1","installation_irrigation_1",25593.071364011,0,25593.071364011
"installation_irrigation_2","installation_irrigation_2",25585.9561450557,0,25585.9561450557
"work_per_irrigation","work_per_irrigation",25618.0046505644,0,25618.0046505644
"maintaining_irrigation_1","maintaining_irrigation_1",25590.0898929463,0,25590.0898929463
"maintaining_irrigation_2","maintaining_irrigation_2",25553.3309016757,0,25553.3309016757
"water_per_day_1","water_per_day_1",25613.0268529372,0,25613.0268529372
"water_per_day_2","water_per_day_2",25615.2625772693,0,25615.2625772693
"tree_planting_hours_3","tree_planting_hours_3",25589.3134449853,0,25589.3134449853
"tree_planting_costs_3","tree_planting_costs_3",25620.7586177359,0,25620.7586177359
"maintaining_trees_h_3","maintaining_trees_h_3",25583.1234780407,0,25583.1234780407
"mulch_h_3","mulch_h_3",25597.8530073745,0,25597.8530073745
"tree_var_costs","tree_var_costs",25598.6033717218,0,25598.6033717218
"truffle_yield","truffle_yield",25377.7076842844,0,25377.7076842844
"truffle_price","truffle_price",25546.1187129125,0,25546.1187129125
"truffle_harvest_costs","truffle_harvest_costs",25600.6831628972,0,25600.6831628972
"truffle_water_per_day","truffle_water_per_day",25659.2720273965,0,25659.2720273965
"truffle_days_to_irrigate","truffle_days_to_irrigate",NA,0,0
"chicken_replacement_cost","chicken_replacement_cost",25583.8623868127,0,25583.8623868127
"initial_chicken_mobile_cost_1","initial_chicken_mobile_cost_1",25584.0507831304,0,25584.0507831304
"maintaining_chicken_mobile_1","maintaining_chicken_mobile_1",25596.1685299836,0,25596.1685299836
"feed_cost","feed_cost",25642.3207037349,0,25642.3207037349
"working_hours_chicken_1","working_hours_chicken_1",25557.8397239941,0,25557.8397239941
"egg_per_hen","egg_per_hen",25589.2913678858,0,25589.2913678858
"feed_per_hen","feed_per_hen",25570.3036129733,0,25570.3036129733
"initial_chicken_mobile_cost_2","initial_chicken_mobile_cost_2",25597.117740279,0,25597.117740279
"maintaining_chicken_mobile_2","maintaining_chicken_mobile_2",25351.4103027056,0,25351.4103027056
"working_hours_chicken_2","working_hours_chicken_2",25622.0005076114,0,25622.0005076114
"eggs_price","eggs_price",25591.8581898084,0,25591.8581898084
"kg_per_certificate","kg_per_certificate",NA,0,0
"kg_per_tree","kg_per_tree",25591.1717769075,0,25591.1717769075
"kg_per_bush","kg_per_bush",25565.5855004358,0,25565.5855004358
"co2_price_per_ton","co2_price_per_ton",25592.3674304342,0,25592.3674304342
"co2_per_egg","co2_per_egg",25603.9112171463,0,25603.9112171463
"winterbarley_yield","winterbarley_yield",25618.0635257702,0,25618.0635257702
"winterbarley_costs","winterbarley_costs",25542.5630780959,0,25542.5630780959
"winterbarley_work","winterbarley_work",25571.0051133118,0,25571.0051133118
"winterbarley_price","winterbarley_price",25577.2959206857,0,25577.2959206857
"rye_yield","rye_yield",25582.6962435982,0,25582.6962435982
"rye_costs","rye_costs",25593.3743737275,0,25593.3743737275
"rye_work","rye_work",25593.732222048,0,25593.732222048
"rye_price","rye_price",25572.2122301531,0,25572.2122301531
"wheat_yield","wheat_yield",25590.7691847657,0,25590.7691847657
"wheat_costs","wheat_costs",25599.2736523082,0,25599.2736523082
"wheat_work","wheat_work",25570.6975362233,0,25570.6975362233
